0005 枯れた竹 かれたたけ
2723 茶色ハーフパンツ ちゃいろはーふぱんつ
2724 チェックのハーフパンツ ちぇっくのはーふぱんつ
2725 ミントギンガムなスカート みんとぎんがむなすかーと
2726 ドットがらたんパン どっとがらたんぱん
2727 ゴシックなスカート ごしっくなすかーと
2728 水色こうしのスカート みずいろこうしのすかーと
2729 ひざあてズボン ひざあてずぼん
272A 秋色こうしのスカート あきいろこうしのすかーと
272B 青い体操ズボン あおいたいそうずぼん
272C 緑の体操ズボン みどりのたいそうずぼん
272D 赤い体操ズボン あかいたいそうずぼん
272E ヒーローズボンB ひーろーずぼんB
272F ヒーローズボンG ひーろーずぼんG
2730 ヒーローズボンR ひーろーずぼんR
2731 青ジャージズボン あおじゃーじずぼん
2732 緑ジャージズボン みどりじゃーじずぼん
2733 赤ジャージズボン あかじゃーじずぼん
2734 ピエロのズボン ぴえろのずぼん
2735 カンフーなズボン かんふーなずぼん
2736 レザーパンツ れざーぱんつ
2737 へいたいズボン へいたいずぼん
2738 ほうたいパンツ ほうたいぱんつ
2739 バリアスーツ・レッグ ばりあすーつ・れっぐ
273A しのびのズボン しのびのずぼん
273B ペルシャなズボン ぺるしゃなずぼん
273C くろマーブルスカート くろまーぶるすかーと
273D レーサーなズボン れーさーなずぼん
273E 白いレーススカート しろいれーすすかーと
273F セーラーふくのスカート せーらーふくのすかーと
2740 かっちゅうのすねあて かっちゅうのすねあて
2741 じんべいのズボン じんべいのずぼん
2742 宇宙服のズボン うちゅうふくのずぼん
2743 すそみせズボン すそみせずぼん
2744 キルト きると
2745 ピンクのスウェットパンツ ぴんくのすうぇっとぱんつ
2746 チノパン ちのぱん
2747 グレータータンのスカート ぐれーたーたんのすかーと
2748 ツートンなズボン つーとんなずぼん
2749 ピンクツイードスカート ぴんくついーどすかーと
274A 黄色ツイードスカート きいろついーどすかーと
274B ラテンユニフォームズボン らてんゆにふぉーむずぼん
274C オレンジさぎょうぎズボン おれんじさぎょうぎずぼん
274D プロレスパンツ ぷろれすぱんつ
274E スポーツジャージのズボン すぽーつじゃーじのずぼん
274F ランニングスパッツ らんにんぐすぱっつ
2750 グレーフォーマルパンツ ぐれーふぉーまるぱんつ
2751 こんいろフォーマルパンツ こんいろふぉーまるぱんつ
2752 黒いフォーマルパンツ くろいふぉーまるぱんつ
2753 白いフォーマルパンツ しろいふぉーまるぱんつ
2754 赤いボーダーパンツ あかいぼーだーぱんつ
2755 赤いチェックスカート あかいちぇっくすかーと
2756 さわやかチェックスカート さわやかちぇっくすかーと
2757 こしみの こしみの
2758 赤いタータンパンツ あかいたーたんぱんつ
2759 赤いドットスカート あかいどっとすかーと
275A ノンウォッシュデニム のんうぉっしゅでにむ
275B 黒いデニムスカート くろいでにむすかーと
275C ケミカルデニム けみかるでにむ
275D グレーのボーダーパンツ ぐれーのぼーだーぱんつ
275E 黒いデニム くろいでにむ
275F 穴あきデニム あなあきでにむ
2760 エメラルドドットスカート えめらるどどっとすかーと
2761 アーガイルスカート あーがいるすかーと
2762 ピンクアーガイルスカート ぴんくあーがいるすかーと
2763 緑のタータンパンツ みどりのたーたんぱんつ
2764 ノンウォッシュスカート のんうぉっしゅすかーと
2765 アロハパンツ あろはぱんつ
2766 青いボーダーパンツ あおいぼーだーぱんつ
2767 サンバなパンツ さんばなぱんつ
2768 赤パジャマズボン あかぱじゃまずぼん
2769 青パジャマズボン あおぱじゃまずぼん
276A バスケパンツ ばすけぱんつ
276B りくじょうたんパン りくじょうたんぱん
276C 茶色フォーマルパンツ ちゃいろふぉーまるぱんつ
276D おうさまパンツ おうさまぱんつ
276E うろこよろいズボン うろこよろいずぼん
276F くろのスカート くろのすかーと
2770 グレーのスカート ぐれーのすかーと
2771 こんいろスカート こんいろすかーと
2772 ガノンドロフのズボン がのんどろふのずぼん
2773 けろけろけろっぴなズボン けろけろけろっぴなずぼん
2774 アオリのボトムス あおりのぼとむす
2775 ノリノリなズボン のりのりなずぼん
2776 シークのズボン しーくのずぼん
2777 あみタイツ あみたいつ
2778 ボーダーソックス ぼーだーそっくす
2779 くろストッキング くろすとっきんぐ
277A ハートがらタイツ はーとがらたいつ
277B レインボータイツ れいんぼーたいつ
277C くろのくるぶしソックス くろのくるぶしそっくす
277D スターなタイツ すたーなたいつ
277E ボーダータイツ ぼーだーたいつ
277F つうきんソックス つうきんそっくす
2780 グレータイツ ぐれーたいつ
2781 こんいろハイソックス こんいろはいそっくす
2782 とざんタイツ とざんたいつ
2783 レースのソックス れーすのそっくす
2784 ラインソックス らいんそっくす
2785 アーガイルハイソックス あーがいるはいそっくす
2786 3つおりソックス 3つおりそっくす
2787 ワインレッドタイツ わいんれっどたいつ
2788 ほしがらハイソックス ほしがらはいそっくす
2789 グレーのレギンス ぐれーのれぎんす
278A 白いハイソックス しろいはいそっくす
278B 黒いタイツ くろいたいつ
278C ベージュのタイツ べーじゅのたいつ
278D はでなソックス はでなそっくす
278E チェックのソックス ちぇっくのそっくす
278F メランジソックス めらんじそっくす
2790 アーガイルタイツ あーがいるたいつ
2791 緑ボーダーソックス みどりぼーだーそっくす
2792 レッグウォーマー れっぐうぉーまー
2793 しろのくるぶしソックス しろのくるぶしそっくす
2794 サッカーソックス さっかーそっくす
2795 くろのレギンス くろのれぎんす
2796 水玉ハイソックス みずたまはいそっくす
2797 白いストッキング しろいすとっきんぐ
2798 グレーのメランジ ぐれーのめらんじ
2799 マリンボーダーのタイツ まりんぼーだーのたいつ
279A 緑のタイツ みどりのたいつ
279B アオリのタイツ あおりのたいつ
279C ホタルのタイツ ほたるのたいつ
279D キキ&ララなくつした きき&ららなくつした
279E けろけろけろっぴなハイソ けろけろけろっぴなはいそ
279F 青いスニーカー あおいすにーかー
27A0 白いエナメルシューズ しろいえなめるしゅーず
27A1 紫のパンプス むらさきのぱんぷす
27A2 ムートンブーツ むーとんぶーつ
27A3 バスケットシューズ ばすけっとしゅーず
27A4 サンタのブーツ さんたのぶーつ
27A5 勇者のブーツ ゆうしゃのぶーつ
27A6 網あげブーツ あみあげぶーつ
27A7 白いかわぐつ しろいかわぐつ
27A8 とざんぐつ とざんぐつ
27A9 げた げた
27AA スノーブーツ すのーぶーつ
27AB ビーチサンダル びーちさんだる
27AC 水玉のパンプス みずたまのぱんぷす
27AD アニマルパンプス あにまるぱんぷす
27AE エスニックなサンダル えすにっくなさんだる
27AF 水玉レインブーツ みずたまれいんぶーつ
27B0 黄色いレインブーツ きいろいれいんぶーつ
27B1 スパイクシューズ すぱいくしゅーず
27B2 きぐつ きぐつ
27B3 茶色のローファー ちゃいろのろーふぁー
27B4 スリッパ すりっぱ
27B5 モノトーンなかわぐつ ものとーんなかわぐつ
27B6 サンダル さんだる
27B7 黒いかわぐつ くろいかわぐつ
27B8 ハイカットスニーカー はいかっとすにーかー
27B9 エスニックなローファー えすにっくなろーふぁー
27BA ボロのくつ ぼろのくつ
27BB サボ さぼ
27BC スポーツシューズ すぽーつしゅーず
27BD グラディエーターサンダル ぐらでぃえーたーさんだる
27BE せった せった
27BF エンジニアブーツ えんじにあぶーつ
27C0 ヒーローブーツ ひーろーぶーつ
27C1 黒いながぐつ くろいながぐつ
27C2 ストライプのパンプス すとらいぷのぱんぷす
27C3 バレエシューズ ばれえしゅーず
27C4 ウェスタンブーツ うぇすたんぶーつ
27C5 ピエロのくつ ぴえろのくつ
27C6 ベルト付シューズ べるとつきしゅーず
27C7 鉄のかっちゅうぐつ てつのかっちゅうぐつ
27C8 金のかっちゅうぐつ きんのかっちゅうぐつ
27C9 青いリングシューズ あおいりんぐしゅーず
27CA 赤いリングシューズ あかいりんぐしゅーず
27CB バリアスーツ・シューズ ばりあすーつ・しゅーず
27CC 緑のベルトシューズ みどりのべるとしゅーず
